circuit,family,n_qubits,gate_count,t_count,toffoli_count,twoq_count,other_clifford_count,clifford_count,t_frac,toffoli_frac,twoq_frac,other_clifford_frac,h_count,s_count
structured_random_0,structured_random,5,47,1,0,23,23,46,0.02127659574468085,0.0,0.48936170212765956,0.48936170212765956,14,0
structured_random_1,structured_random,5,50,3,0,21,26,47,0.06,0.0,0.42,0.52,17,0
structured_random_2,structured_random,5,50,2,0,20,28,48,0.04,0.0,0.4,0.56,19,0
structured_random_3,structured_random,5,45,4,0,21,20,41,0.08888888888888889,0.0,0.4666666666666667,0.4444444444444444,13,0
structured_random_4,structured_random,5,50,2,0,25,23,48,0.04,0.0,0.5,0.46,16,0
structured_random_5,structured_random,5,43,2,0,20,21,41,0.046511627906976744,0.0,0.46511627906976744,0.4883720930232558,13,0
structured_random_6,structured_random,5,50,3,0,19,28,47,0.06,0.0,0.38,0.56,18,0
structured_random_7,structured_random,5,48,3,0,19,26,45,0.0625,0.0,0.3958333333333333,0.5416666666666666,17,0
structured_random_8,structured_random,5,45,2,0,21,22,43,0.044444444444444446,0.0,0.4666666666666667,0.4888888888888889,13,0
structured_random_9,structured_random,5,56,1,0,28,27,55,0.017857142857142856,0.0,0.5,0.48214285714285715,18,0
structured_random_10,structured_random,5,55,2,0,24,29,53,0.03636363636363636,0.0,0.43636363636363634,0.5272727272727272,18,0
structured_random_11,structured_random,5,48,3,0,27,18,45,0.0625,0.0,0.5625,0.375,13,0
structured_random_12,structured_random,5,58,3,0,30,25,55,0.05172413793103448,0.0,0.5172413793103449,0.43103448275862066,18,0
structured_random_13,structured_random,5,54,4,0,28,22,50,0.07407407407407407,0.0,0.5185185185185185,0.4074074074074074,17,0
structured_random_14,structured_random,5,53,3,0,23,27,50,0.05660377358490566,0.0,0.4339622641509434,0.5094339622641509,17,0
structured_random_15,structured_random,5,58,4,0,25,29,54,0.06896551724137931,0.0,0.43103448275862066,0.5,19,0
structured_random_16,structured_random,5,57,5,0,23,29,52,0.08771929824561403,0.0,0.40350877192982454,0.5087719298245614,21,0
structured_random_17,structured_random,5,59,3,0,29,27,56,0.05084745762711865,0.0,0.4915254237288136,0.4576271186440678,20,0
structured_random_18,structured_random,5,53,3,0,24,26,50,0.05660377358490566,0.0,0.4528301886792453,0.49056603773584906,17,0
structured_random_19,structured_random,5,52,8,0,16,28,44,0.15384615384615385,0.0,0.3076923076923077,0.5384615384615384,20,0
structured_random_20,structured_random,5,70,4,0,33,33,66,0.05714285714285714,0.0,0.4714285714285714,0.4714285714285714,23,0
structured_random_21,structured_random,5,54,4,0,25,25,50,0.07407407407407407,0.0,0.46296296296296297,0.46296296296296297,14,0
structured_random_22,structured_random,5,40,3,0,14,23,37,0.075,0.0,0.35,0.575,15,0
structured_random_23,structured_random,5,76,10,0,30,36,66,0.13157894736842105,0.0,0.39473684210526316,0.47368421052631576,26,0
structured_random_24,structured_random,5,50,3,0,23,24,47,0.06,0.0,0.46,0.48,16,0
structured_random_25,structured_random,5,51,2,0,21,28,49,0.0392156862745098,0.0,0.4117647058823529,0.5490196078431373,18,0
structured_random_26,structured_random,5,44,1,0,22,21,43,0.022727272727272728,0.0,0.5,0.4772727272727273,13,0
structured_random_27,structured_random,5,55,4,0,22,29,51,0.07272727272727272,0.0,0.4,0.5272727272727272,19,0
structured_random_28,structured_random,5,53,2,0,24,27,51,0.03773584905660377,0.0,0.4528301886792453,0.5094339622641509,18,0
structured_random_29,structured_random,5,57,4,0,32,21,53,0.07017543859649122,0.0,0.5614035087719298,0.3684210526315789,15,0
structured_random_30,structured_random,5,60,4,0,26,30,56,0.06666666666666667,0.0,0.43333333333333335,0.5,19,0
structured_random_31,structured_random,5,59,1,0,29,29,58,0.01694915254237288,0.0,0.4915254237288136,0.4915254237288136,17,0
structured_random_32,structured_random,5,71,4,0,27,40,67,0.056338028169014086,0.0,0.38028169014084506,0.5633802816901409,28,0
structured_random_33,structured_random,5,45,2,0,17,26,43,0.044444444444444446,0.0,0.37777777777777777,0.5777777777777777,18,0
structured_random_34,structured_random,5,49,3,0,19,27,46,0.061224489795918366,0.0,0.3877551020408163,0.5510204081632653,18,0
structured_random_35,structured_random,5,59,5,0,25,29,54,0.0847457627118644,0.0,0.423728813559322,0.4915254237288136,21,0
structured_random_36,structured_random,5,46,4,0,17,25,42,0.08695652173913043,0.0,0.3695652173913043,0.5434782608695652,17,0
structured_random_37,structured_random,5,53,4,0,20,29,49,0.07547169811320754,0.0,0.37735849056603776,0.5471698113207547,21,0
structured_random_38,structured_random,5,45,1,0,19,25,44,0.022222222222222223,0.0,0.4222222222222222,0.5555555555555556,16,0
structured_random_39,structured_random,5,54,2,0,26,26,52,0.037037037037037035,0.0,0.48148148148148145,0.48148148148148145,16,0
