circuit,method,initial_gates,final_gates,initial_2q,final_2q,initial_t,final_t
random_0,basic_opt,102,57,29,31,6,6
random_0,full_reduce,102,75,29,39,6,1
random_0,teleport_reduce,102,102,29,29,6,6
random_0,agent_R_v2,102,58,29,27,6,3
random_0,agent_P_v2,102,59,29,30,6,4
random_0,agent_A_v2,102,59,29,27,6,5
random_1,basic_opt,104,73,23,25,9,9
random_1,full_reduce,104,78,23,33,9,6
random_1,teleport_reduce,104,104,23,23,9,9
random_1,agent_R_v2,104,63,23,23,9,7
random_1,agent_P_v2,104,68,23,23,9,8
random_1,agent_A_v2,104,67,23,25,9,9
random_2,basic_opt,87,51,23,23,2,2
random_2,full_reduce,87,63,23,36,2,4
random_2,teleport_reduce,87,87,23,23,2,2
random_2,agent_R_v2,87,44,23,20,2,2
random_2,agent_P_v2,87,48,23,20,2,2
random_2,agent_A_v2,87,47,23,20,2,4
random_3,basic_opt,66,36,18,18,2,2
random_3,full_reduce,66,57,18,29,2,3
random_3,teleport_reduce,66,66,18,18,2,2
random_3,agent_R_v2,66,34,18,16,2,2
random_3,agent_P_v2,66,33,18,17,2,2
random_3,agent_A_v2,66,32,18,16,2,2
random_4,basic_opt,83,49,19,19,3,2
random_4,full_reduce,83,52,19,26,3,2
random_4,teleport_reduce,83,83,19,19,3,3
random_4,agent_R_v2,83,48,19,17,3,3
random_4,agent_P_v2,83,48,19,17,3,3
random_4,agent_A_v2,83,50,19,19,3,3
random_5,basic_opt,100,48,25,25,4,4
random_5,full_reduce,100,61,25,32,4,2
random_5,teleport_reduce,100,100,25,25,4,4
random_5,agent_R_v2,100,47,25,24,4,2
random_5,agent_P_v2,100,49,25,24,4,4
random_5,agent_A_v2,100,46,25,23,4,3
random_6,basic_opt,79,56,17,19,6,5
random_6,full_reduce,79,68,17,33,6,5
random_6,teleport_reduce,79,79,17,17,6,6
random_6,agent_R_v2,79,55,17,18,6,5
random_6,agent_P_v2,79,52,17,15,6,5
random_6,agent_A_v2,79,56,17,19,6,5
random_7,basic_opt,55,36,15,14,3,3
random_7,full_reduce,55,55,15,26,3,1
random_7,teleport_reduce,55,55,15,15,3,3
random_7,agent_R_v2,55,34,15,12,3,4
random_7,agent_P_v2,55,30,15,12,3,4
random_7,agent_A_v2,55,31,15,14,3,3
random_8,basic_opt,87,50,19,21,3,2
random_8,full_reduce,87,47,19,24,3,3
random_8,teleport_reduce,87,87,19,19,3,3
random_8,agent_R_v2,87,51,19,21,3,1
random_8,agent_P_v2,87,48,19,19,3,2
random_8,agent_A_v2,87,44,19,19,3,2
random_9,basic_opt,95,57,24,24,4,4
random_9,full_reduce,95,58,24,29,4,6
random_9,teleport_reduce,95,95,24,24,4,4
random_9,agent_R_v2,95,53,24,23,4,4
random_9,agent_P_v2,95,56,24,23,4,5
random_9,agent_A_v2,95,53,24,22,4,5
purerandom_0,basic_opt,29,16,6,6,1,0
purerandom_0,full_reduce,29,11,6,3,1,1
purerandom_0,teleport_reduce,29,29,6,6,1,1
purerandom_0,agent_R_v2,29,12,6,2,1,1
purerandom_0,agent_P_v2,29,9,6,3,1,1
purerandom_0,agent_A_v2,29,12,6,2,1,0
purerandom_1,basic_opt,58,38,8,8,1,1
purerandom_1,full_reduce,58,70,8,29,1,1
purerandom_1,teleport_reduce,58,58,8,8,1,1
purerandom_1,agent_R_v2,58,36,8,8,1,1
purerandom_1,agent_P_v2,58,36,8,8,1,1
purerandom_1,agent_A_v2,58,36,8,8,1,1
purerandom_2,basic_opt,114,66,26,24,9,10
purerandom_2,full_reduce,114,132,26,71,9,9
purerandom_2,teleport_reduce,114,114,26,26,9,9
purerandom_2,agent_R_v2,114,64,26,24,9,10
purerandom_2,agent_P_v2,114,64,26,24,9,10
purerandom_2,agent_A_v2,114,64,26,24,9,10
